ADM_CD,H00,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23
1108060,22572.4505,22114.9993,22167.8753,22010.5932,22001.9666,22490.2386,23244.296,25149.7211,29237.1409,31259.0217,32773.1543,32692.358,33632.3275,33843.688500000004,32921.0889,31326.7612,29577.052300000003,28334.7113,26747.0979,26138.6015,25260.4318,24489.4435,23337.6517,21823.9073
1108061,15983.7813,15872.4954,15570.0224,15586.3164,15606.6533,15746.5755,15855.9063,15954.827599999999,14684.1343,13798.1982,13472.4783,13065.3511,12942.3073,13127.2417,12771.196,13648.510400000001,13626.8307,14035.6242,14595.5761,14372.6665,14524.7254,14830.3415,15246.7699,16794.6591
1108062,14528.7188,14756.1928,14266.4825,14289.2056,14196.9092,13979.017100000001,13622.8171,12606.2791,11212.3667,10187.437,9956.6484,9875.3426,9841.1818,10053.3116,9537.409,9855.114,10380.0235,11380.9362,12170.3033,12890.3555,13412.5683,13465.2354,14050.5155,14317.9398
1108063,23760.1748,24091.437299999998,24474.898,24661.361,24560.0235,24013.716,23340.5732,20963.8355,18386.1318,16996.3525,15785.4646,15121.9005,14746.420900000001,14431.708,14753.4191,15236.6599,15789.5324,16606.129,17663.2005,18993.8942,19756.6152,21046.9759,22112.2927,22961.4353
1108064,16744.991,16727.643799999998,16455.7309,16486.0329,16531.307,16533.740999999998,16529.8337,16935.3946,19923.5898,20792.6748,21383.4315,21470.4192,21211.358,20523.6033,20062.714500000002,18520.6055,16567.8573,15447.8357,15229.675,14978.3362,14757.6733,14609.6746,14956.2769,15772.2986
1108065,20430.6176,20627.8907,20614.7801,20523.0621,20469.2371,20004.8989,19628.212,18260.4773,15528.7048,14653.6392,13906.8226,13700.5253,13590.6577,13206.4335,13284.0024,13600.180699999999,14105.7301,14363.9885,15071.824,15957.7996,16944.0336,17849.486100000002,18689.7346,19639.6235
1108066,40534.8807,40766.6756,41090.894,41097.9951,41244.3394,41093.4078,39520.0742,35319.7614,29456.0296,27780.5937,26013.2846,25253.5143,24842.3919,25070.1563,26616.2955,28367.6456,29848.9697,31645.9762,32957.3634,35058.2008,36156.9716,37471.6316,38328.8536,39213.2785
1108068,19167.0116,19549.9549,19414.3912,19536.0377,19665.7087,19721.268,19580.0407,17949.5177,15620.3045,15320.8148,15783.1363,15585.9871,15565.7384,15894.9159,16333.577099999999,17582.935,18925.6483,19865.5567,20270.5164,20503.3374,20228.4885,20479.7211,20354.2297,18873.4527
1108084,41902.8143,42109.1401,42421.3633,42417.6383,42517.031,42097.6958,41621.5079,39379.9808,36635.6365,35234.3388,34122.4507,33334.211,33166.3685,31911.7818,31522.9744,32542.1763,33640.4404,34207.165,34735.0011,35103.9969,36086.7682,37102.37,38215.4952,40863.0853
1108071,29114.5047,29109.3231,29558.6169,29383.4057,29196.2056,28595.8455,27335.6683,25581.367,26205.1551,26419.274999999998,26748.012,27069.996199999998,26808.6399,26417.2967,26316.2097,25871.9873,25443.363400000002,24787.1324,24905.040699999998,25678.4925,26029.4953,26575.970400000002,28182.1556,27688.1779
1108072,22113.3321,22267.1803,21922.9114,22255.6666,22334.0619,22554.1858,22761.8392,22659.2684,21901.2584,21317.2455,21187.8816,21117.9699,20699.7884,20656.9605,20427.5391,20164.4378,21125.4759,20904.9826,21293.0684,21379.4371,21934.945,21701.3871,21979.5011,21957.5908
1108076,23564.6858,23877.8734,24138.3756,24063.4625,23793.796,23445.7225,22900.5747,21147.1348,19495.148,18369.456000000002,17992.0617,17658.5937,17433.09,17137.466,17091.8736,16706.818,16597.5394,17182.1476,18387.3558,19943.2048,21135.2486,21858.1631,22230.9417,22773.554799999998
1108077,11404.4859,11393.9926,10979.5296,10895.5812,10937.237,11125.2991,11335.6963,11967.1945,10964.2808,10157.8933,9732.317000000001,9818.5668,9475.1303,9282.9819,9196.958,9682.4095,9754.3935,9865.0862,10357.754,10245.8541,10073.4309,10319.1837,10697.9048,11886.5693
1108078,8351.8815,8330.7802,8458.2024,8536.2717,8590.3054,8559.265,8571.0376,7978.3706999999995,7293.366,6871.6975999999995,6792.412,6739.37,6483.4756,6406.0545,6704.4298,6363.3063999999995,6524.9745,6186.6001,6471.8107,6667.0252,7083.4847,7520.6972,7868.8669,8160.5437
1108085,28664.326699999998,28577.087,28774.929,28808.6921,28874.6843,28962.0457,28469.7971,27644.1085,25422.9756,24609.2501,23850.3137,23622.0805,23405.5423,23419.444,23469.2459,23504.0141,24515.6379,25308.1603,26622.8288,26792.2844,27508.9526,28424.1532,29088.8213,28031.5891
1109069,25123.0641,25871.0975,25943.6865,25920.694,25545.5989,25126.2398,24192.5957,22283.976,20165.2674,19120.6115,18396.6837,18410.7214,18290.2906,17919.5756,17445.6902,18039.0866,18608.4913,19799.5286,20284.9547,21206.1779,21760.6862,22653.2807,24061.0999,24011.6593
1109070,21457.9813,21747.307,21840.222,22057.5869,21898.3568,21916.7056,21451.7712,21249.3653,21467.5172,21291.3664,21476.7726,21571.1048,21368.2722,21154.8861,20853.3999,21671.1127,21079.8985,21029.1103,20631.0243,20621.1743,21085.6016,21435.5266,21593.4074,21171.1669
1109071,33996.5984,34179.1652,34314.1857,34232.1537,34472.8339,34236.1886,33455.403,33457.5626,32507.3613,31701.8439,31836.3701,31668.2684,32064.3277,31715.1239,32060.0167,32137.5488,32834.2576,33138.9522,34523.7654,35444.401,35548.8278,36158.0222,35952.4733,34028.8463
1109072,26366.6136,25989.9421,26317.0885,26353.7838,26399.4319,26221.9844,25736.4207,26625.2493,25758.5647,25072.1975,24919.4688,24966.0323,25069.6072,24409.7637,24649.9503,24617.1997,23527.118000000002,23560.4511,24632.6903,24968.0438,25383.3104,25597.4528,26286.5751,25813.3266
1109073,22198.1223,21362.5027,21518.2106,21691.035499999998,21779.0567,21323.549,20372.0031,18521.3924,17478.3047,16106.0805,15723.3904,15354.699,15209.1635,15179.9429,14690.8414,14381.0041,14576.1698,14617.410899999999,15519.4107,16564.1435,17221.5345,18098.1778,19186.4174,22076.3951
