Model_Num,Serial_Num,Type,Date,TempMax
SDOT001,V02Q1940364,residential_area,20240804,36.3
SDOT001,V02Q1940367,residential_area,20240804,39.7
SDOT001,V02Q1940369,residential_area,20240804,39.2
SDOT001,V02Q1940371,residential_area,20240804,39.1
SDOT001,V02Q1940373,residential_area,20240804,39.4
SDOT001,V02Q1940375,commercial_area,20240804,35.8
SDOT001,V02Q1940376,residential_area,20240804,39.3
SDOT001,V02Q1940377,residential_area,20240804,37.9
SDOT001,V02Q1940378,residential_area,20240804,36.9
SDOT001,V02Q1940379,residential_area,20240804,37.4
SDOT001,V02Q1940380,residential_area,20240804,39.9
SDOT001,V02Q1940382,residential_area,20240804,37.6
SDOT001,V02Q1940385,residential_area,20240804,39.2
SDOT001,V02Q1940386,residential_area,20240804,38.2
SDOT001,V02Q1940387,commercial_area,20240804,38.7
SDOT001,V02Q1940388,residential_area,20240804,35.4
SDOT001,V02Q1940389,residential_area,20240804,39.3
SDOT001,V02Q1940390,industrial_area,20240804,39.2
SDOT001,V02Q1940391,residential_area,20240804,37.3
SDOT001,V02Q1940392,residential_area,20240804,38.8
SDOT001,V02Q1940394,residential_area,20240804,38.8
SDOT001,V02Q1940395,residential_area,20240804,38.5
SDOT001,V02Q1940396,industrial_area,20240804,38.4
SDOT001,V02Q1940397,residential_area,20240804,35.9
SDOT001,V02Q1940399,residential_area,20240804,39.4
SDOT001,V02Q1940400,residential_area,20240804,37.5
SDOT001,V02Q1940401,residential_area,20240804,39.4
SDOT001,V02Q1940402,residential_area,20240804,39.4
SDOT001,V02Q1940403,residential_area,20240804,38.8
SDOT001,V02Q1940404,residential_area,20240804,37.8
SDOT001,V02Q1940405,industrial_area,20240804,39.7
SDOT001,V02Q1940406,residential_area,20240804,38.7
SDOT001,V02Q1940407,residential_area,20240804,38.1
SDOT001,V02Q1940408,residential_area,20240804,39.3
SDOT001,V02Q1940409,residential_area,20240804,37.0
SDOT001,V02Q1940411,residential_area,20240804,39.3
SDOT001,V02Q1940412,residential_area,20240804,39.4
SDOT001,V02Q1940413,residential_area,20240804,38.9
SDOT001,V02Q1940414,residential_area,20240804,38.4
