Model_Num,Serial_Num,Year,Month,Day,Hour,Type,Gu_Name,Dong_Name,Temp
SDOT001,OC3CL200196,2023,1,2,17,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-0.5
SDOT001,OC3CL200196,2023,1,2,18,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-1.2
SDOT001,OC3CL200196,2023,1,2,19,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-1.8
SDOT001,OC3CL200196,2023,1,2,20,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-2.2
SDOT001,OC3CL200196,2023,1,2,21,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-2.6
SDOT001,OC3CL200196,2023,1,2,22,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-3.1
SDOT001,OC3CL200196,2023,1,2,23,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-3.8
SDOT001,OC3CL200196,2023,1,3,0,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-4.1
SDOT001,OC3CL200196,2023,1,3,1,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-5.1
SDOT001,OC3CL200196,2023,1,3,3,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-5.7
SDOT001,OC3CL200196,2023,1,3,5,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-7.6
SDOT001,OC3CL200196,2023,1,3,6,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-7.5
SDOT001,OC3CL200196,2023,1,3,7,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-7.7
SDOT001,OC3CL200196,2023,1,3,8,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-8.2
SDOT001,OC3CL200196,2023,1,3,9,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-7.6
SDOT001,OC3CL200196,2023,1,3,10,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-6.1
SDOT001,OC3CL200196,2023,1,3,11,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-4.7
SDOT001,OC3CL200196,2023,1,3,12,residential_area,Dongdaemun-gu,Cheongnyangni-dong,0.9
SDOT001,OC3CL200196,2023,1,3,13,residential_area,Dongdaemun-gu,Cheongnyangni-dong,2.8
SDOT001,OC3CL200196,2023,1,3,14,residential_area,Dongdaemun-gu,Cheongnyangni-dong,3.8
SDOT001,OC3CL200196,2023,1,3,15,residential_area,Dongdaemun-gu,Cheongnyangni-dong,3.3
